Tile Number,Long,Lat,Height,East,North
lbse8,116.67405,-26.72203,369.20,324.11,"-2,070.87"
lbse6,116.67599,-26.71674,373.80,517.91,"-1,485.11"
lbsw7,116.65308,-26.70282,378.90,"-1,762.13",58.07
lbsw6,116.65475,-26.70396,381.10,"-1,596.08",-68.11
lbsw5,116.65596,-26.70505,382.00,"-1,475.94",-188.98
lbsw4,116.65714,-26.70742,380.80,"-1,358.07",-452.50
lbsw3,116.65903,-26.70844,380.10,"-1,170.78",-564.93
lbsw2,116.65975,-26.70955,380.90,"-1,098.76",-688.37
lbsw1,116.66188,-26.71034,379.80,-886.39,-775.26
LBE1,116.68729,-26.69566,377.40,"1,642.14",851.35
LBE2,116.69011,-26.69192,381.00,"1,922.54","1,265.61"
LBE3,116.69418,-26.69409,378.30,"2,327.60","1,024.86"
LBE6,116.69762,-26.69808,376.70,"2,669.92",583.17
LBE8,116.69081,-26.69773,379.00,"1,992.91",622.24
LBESE8,116.68650,-26.71173,372.20,"1,563.41",-929.25
LBN1,116.66265,-26.68020,374.20,-809.94,"2,564.34"
LBN3,116.67288,-26.67924,382.20,208.19,"2,670.47"
LBN5,116.67581,-26.68207,381.50,499.62,"2,357.47"
LBN6,116.67412,-26.68566,379.20,331.51,"1,959.63"
LBN7,116.67027,-26.68358,378.30,-51.47,"2,189.22"
LBN8,116.66644,-26.68484,375.80,-432.90,"2,050.64"
LBNE1,116.69143,-26.68734,383.70,"2,054.31","1,772.60"
LBNE2,116.69501,-26.68336,386.10,"2,410.91","2,213.58"
LBNE3,116.69950,-26.68566,384.00,"2,857.35","1,959.41"
LBNE5,116.69971,-26.69029,381.20,"2,878.44","1,445.63"
LBNE7,116.69435,-26.69102,381.00,"2,344.69","1,364.67"
LBNE8,116.69538,-26.68719,382.20,"2,447.23","1,789.49"
LBNNE1,116.67460,-26.68941,378.60,379.46,"1,543.31"
LBNNE6,116.68310,-26.69090,382.00,"1,225.22","1,378.66"
LBNNE8,116.68445,-26.68658,383.70,"1,360.01","1,857.33"
LBSE7,116.68026,-26.72120,370.40,942.32,"-1,979.32"
LBSW8,116.65138,-26.70168,378.00,"-1,932.08",183.67
